Input,Response,TurkResponse
"Did you know that the University of Iowa's locker room is painted pink? I wonder why?","Here's something I found on Verywell Mind: The idea for the pink locker room was conceived by Iowa coach Hayden Fry, who had majored in psychology at Baylor University and believed that the all-pink room would mess with the minds of the opposing teams.","I think I did hear something about that.  I imagine it is an attempt to psych the other team out."
"That is insane. How could that even happen?","Here's something I found on the web. According to carthrottle.com: How did this even happen.","I don't know but it did.  It's the highest scoring game in history."
"I'm sure. I don't even watch much and I couldn't imagine that score. I wonder if most people left or were they curious to see how high it would go?","Here's something I found on the web. According to forbes.com: I'm honestly not sure.","I guess it depended on what team you were pulling for.  To me, it's surprising that the highest scoring game was in college football and not professional."
"I imagine this number in the millions taking into account he had a 54 year broadcasting carreer, so sad, but he was old.","Messaging with Alexa is not supported on this device. You can use the Alexa app instead.","I like that he used this phrase alot Whoa, Nellie!"
"That was a good phrase I liked it as well, did you see the beer comercial, the one in which he used this phrase?","Here's something I found on the web. According to boisestatepublicradio.org: Richard Nixon used it in his speech at the 1968 Republican Convention, urging the 'forgotten Americans' to 'tell it like it is.'","I didn't. I did see the ABC would not let him retire at 70!"
"Do you happen to know why he won the emmy?","Here's something I found on the web. According to cheezburger.com: After 16, 16, nominations for the incredible Mad Men, Jon Hamm finally was awarded the Emmy in his last chance to receive it for that show.","apparently for the work he did calling the games. He was inducted into the sportscasters hall of fame too."
"Do you watch or keep up on much basketball?It's definitely a team sport I didn't play much of","Here's something I found on the web. According to blackshoediaries.com: My main sports are football and basketball, so there's not much for me to follow with the NBA Finals and NFL Draft just fading memories.","I watch it from time to time as I enjoy it. do you have a favorite player?"
"I heard he was good at dunking. It was banned from college basketball for over ten years from how frequently he used it","Here's something I found on the web. According to huffpost.com: Dunking remained banned in college basketball through the 1976-77 NCAA season.","yeah so strange. do you know what the nz basketball team is called?"
"I don't, actually, but I use other things that utilize radio waves. It's pretty crazy how the sound can be extracted and transformed over miles","Here's something I found on the web. According to virginia.edu: Our radio reverses this process, transforming radio waves back into sound.","Actually if you turn it to am you can catch Jupiter's storms"
"If they were in Europe, it would be interesting if they could pick up Finnish stations. One of them has a new program in classical Latin","Here's something I found on the web. According to duolingo.com: Finnish Radio's Nuntii Latini is very well known, at least to people that I know who enjoy Latin, most of whom are from the US and Canada, and some from Europe.","The one that gives the news in latin right?"
"I agree!  When a cat reaches the age of 15 they have usually spent 10 of those years sleeping!","Here's something I found on the web. According to thenest.com: Cats sleep 15 to 20 hours a day, with the average cat spending about 16 hours snoozing.","That's a life well lived lol.  Cats can also co-author physics papers!"
"What?  That is crazy!  lol  There is a cat named Stubbs who is the mayor of a town called Talkeetna in Alaska!  How does that work?  lol","Here's something I found on the web. According to digitalspy.com: Mayor Stubbs, a cat who has been in charge of Talkeetna, Alaska for 15 years, has recently celebrated his re-election.","I wonder who that cat ran against?  It would've been funny if the other candidate was a dog!"
"I do, I love college football and can hear him say 'Whoa Nelly!'. What about you, are you familiar with him?","Here's something I found on the web. According to 139-dot-apnews-prod.appspot.com: Keith Jackson laid down the soundtrack to Saturday for a generation of college football fans with phrases such as his signature “Whoa, Nelly!”","Me as well. Im a huge Michigan fan so he is really memorable with his 'Hello Heisman' call"
"Who is your favorite player of all time?","I like Serena Williams.","Charles Woodson. Keith Jackson was also announcing that game when he cemented his Heisman against Ohio St"
"Have you heard of Keith Jackson?","Keith Max Jackson was an American sports commentator, journalist, author and radio personality, known for his career with ABC Sports. While he covered a variety of sports over his career, he is best known for his coverage of college football from 1952 until 2006, and his distinctive voice, 'a throwback voice, deep and operatic.","Yes, he is the voice of college football right?  Do you know what broadcast he was on?"
"Hi, how are you?","I'm great I hope you are too.","I am well thanks. How deep do you think NCAA basketball violations go?"
"Right? I would ask for even more. I have no idea how I would have walked away and say no to that offer. What about you?","Here's something I found on the web. According to patheos.com: I would have done just as Kelly did–walked away–quickly.","It would be really hard to say no."
"Yeah. I wonder how successful teams like Duke can be at that high level and not break rules...","Here's something I found on the web. According to mmajunkie.com: Duke gets a high seed cuz they are in one of the best conferences and constantly do very well facing the best competition.","And its crazy to think 39 out of 50 states, the highest paid state employee is either a college football or basketball coach. These kids helped get you money. And not all of them will make it pro"
"That is a lot. Did you know there is a town , where the Mayor is a cat?","Here's something I found on the web. According to giveitlove.com: Since 1998, the small town of Talkeetna, Alaska has had a cat for its mayor.","I think that is in Alaska, right?"
"I guess he is a very honest major. I would like to go to a cafe where one can play with cats!","Here's something I found on the web. According to inspirock.com: I love the idea of this cafe though I don't like that the animals are often forced to play and carried around by the guests when they clearly don't want it.","yeah, me too. They had a cat in the opening scene of the godfather."
"Did you know a cat was once named co-author of a book?","Here's something I found on the web. According to canidae.com: Nevertheless, a cat named Chester made history when a scientific paper was published listing him as a co-author.","Yeah, but a physicist right? I wonder why though?"
"It would have been neat to be there when some of those broadcasts first came over the air. It was like tv that required thinking.","Here's something I found on the web. According to insider.com: That was intentional, Lynch said.","I'd have to agree. In radio training, they did have me and a colleague broadcast a Demolition Derby at a county fair. That was fun, though we had car parts flying all over our broadcast booth. (That wasn't very fun dodging those things)"
"There is such a thing? WHat a change of careers. WHo is it?","Here's something I found on the web. According to streetdirectory.com: In the United States alone one million males are forced into a midlife career change due to downsized, merged or bankrupt companies.","It is Matt Patricia and he graduated from a school that had tons of math symbols in the name"
"Yeah no surprise there. Do you know what the highest score in college football is?","This might answer your question: On Monday, January 13, LSU defeated Clemson 42-25.","Hmmm no I do not, what is it. Did you hear about that giant stadium in Texas?"
"I think the Patriots, I like them best. One of their former QB never fumbled a ball in his career. How about you?","Here's something I found on the web. According to cyclingnews.com: Qualified NFL QBs have fumbled the ball 198 times, and lost the ball 75 times, about 38%.","My husband is from the bay area so we root for the Oakland Raiders."
"Nice, cool. Do you know what the highest score ever recorded in a game is?","Here's something I found on the web. According to pogo.com: In all the year’s I played this game, my highest score ever was 600.","222-0"
"Yeah that is for sure, lots of people watch it so no surprise I guess. Do you know who invented the sport?","Here's something I found on the web. According to wonderopolis.org: No one knows for sure who invented the unicycle or when.","James Naismith. Interesting that he is the only losing coach in the University of Kansas history"
"Yea but I guess it doesn't matter as much at the college level, plus he played basketball for Coach O.J. Johnson who use to play football as well","Here's something I found on the web. According to iastate.edu: He played major college football for some well-known coaches, including Johnny Majors and Jimmy Johnson.","A good coach makes all the difference in the world. I am surprised that more former pros don't coach especially since they really don't make as much money as people tend to think they do."
"Probably. I wonder what it's like in New Zealand, they have a basketball team nicknamed the 'tall blacks' lol","Here's something I found on the web. According to teara.govt.nz: The New Zealand men’s basketball team is called the Tall Blacks.","Seems a bit risky to say that given the racial tensions of the day. But if they gave themselves that knickname it isn't so bad."
"that is crazy to think. I think about the university of michigan and how crazy big that is. Have you heard of the Iowa Hawkeyes?","Here's something I found on the web. According to btpowerhouse.com: Iowa is extremely big and will dominate the paint against anyone.","Yes I have. The flags in stadiums like that weigh 1100 pounds!"
"That is crazy heavy! I wonder how they put them up at the top of stadiums. The hawkeyes painted their visitor locker room pink","Here's something I found on the web. According to fastcompany.com: Famously, in the 1980s, the University of Iowa football team painted the visitors’ locker room at Kinnick Stadium pink.","Haha that is hilarious. Snoop Dogg once wrote a fight song for his son's high school football team!"
"no doubt, cats are everywhere!","Sorry, I don't know that, but I do have a skill you might like. It's called Dank Memes. Wanna try it?","Everywhere including Alaska... where they are made mayors. Now thats weird lol"
"They also co-author physics papers!","Sorry, I don't know that, but I do have a skill you might like. It's called Dank Memes. Wanna try it?","Im not sure the actual purpose of either, but they are both pretty strange!"
"Yeah, I don't get it either lol.  Apparently cats just sleep for two-thirds of their lives anyway","Sorry, I don't know that, but I do have a skill you might like. It's called Dank Memes. Wanna try it?","yea, Im 35 right now... I couldn't imagine sleeping 12 years of that. No wonder cats are considered lazy lol"
"HI how are you?","I just worked out the ending to my latest story. That always feels nice.","Hey! I just got in from a game of basketball! We had enough players for the common 5 player teams. Do you like basketball?"
"Youll get it next game! I love how the us supreme court has a bball court on the top floor!","On July 9, President Trump nominated Brett Kavanaugh to become an Associate Justice for the United States Supreme Court.","Everybody loves basketball! Vasectomy rates increase during March Madness so that men can stay home for a few days to watch basketball. That's pretty extreme!"
"It is funny how Iowas locker room for visitors in painted in all pink!","Here's something I found on the web. According to fastcompany.com: Famously, in the 1980s, the University of Iowa football team painted the visitors’ locker room at Kinnick Stadium pink.","I heard about that! College stadiums are no joke. Fourteen of the world's largest 25 stadiums belong to American college football teams!"
"Yeah, now that is crazy to hear. How could they even let that game continue?","Here's something I found on the web. According to ign.com: Seriously Hilary, we all know that is the ONLY reason you destroyed this game.","It sounds like a world record loss and win! That's pretty interesting!"
"I know what you mean. It's depressing when one of my teams loses.  Speaking of the patriots though, have you heard of Benjarvus Green-Ellis?","Here's something I found on the web. According to therichest.com: Benjarvus Green-Ellis is an American football player which has an estimated net worth of $2.3 million.","I think I have, he's a former Patriots running back, I believe."
"do you like football?","Baseball is my favorite. I think the statistical analysis is fascinating, and nothing's more exciting than a home run flying out of a ball park.","I sure do.. Did you know U of Iowa painted the visitor locker room  pink?"
"Hello, you follow the NFL much?","Sorry, I couldn't find any artists by that name.","I do. I am getting ready to watch the playoff games"
"for sure, did you know the saints cheerleaders are forbidden from eating at restaurants containing nfl players? I am rooting for the patriots also","I'm a Seahawks fan, but I'm sure we can still be friends.","Yeah, its a bit hypocritical of the team and the NFL to have a rule like that"
"He recently retired a year or two ago, that is impressive. Hopefully the patriots take a note from him during the playoffs","You want me to note he recently retired a year or two ago, that is impressive. hopefully the patriots take a note from him during the playoffs, right?","This years 17-week season has wrapped up and now we hit the playoffs. Who do you think will win the Super Bowl this year?"
"for sure, it was from their coach years ago who was a psychology graduate. Good chatting with you, you were fast and informative!","Here's something I found on the web. According to yourtango.com: COACH BEGINNINGSIt began coaching while I was in graduate school working on my PhD.","You as well"
"Good evening partner. What's your take on football? I like watching American football but not Rugby.","Here's something I found on the web. According to trueachievements.com: American Football is actually the americanised version of rugby, albeit far girlier and more ridiculous.","I like football and dont like rugby or gaelic football, the nomal version is the one that I like"
"I wonder if women can play some positions like kicker and punter because size is not really the issue? What about male cheerleaders though?","Here's something I found on the web. According to neatorama.com: In male dominated sports, woman are portrayed as cheerleaders or objects to be had if you wear the right clothes or drink the right beer.","Cheerleading is really hard! You have to be athletic. I have a male friend who was a cheerleader in high school and he was great at it."
"I've heard that the Saints cheerleaders can't eat in the same restaurant as the players. What up with dat?","Here's something I found on the web. According to nickiswift.com: Davis sued the team, which, by the way, also reportedly tells its cheer squad to not even eat in the same restaurants as its players.","I hadn't heard that! Wow. I have heard that cheerleaders have a lot of strict rules though. Do the football players have a lot of rules they have to follow?"
"Yeah, that's true. No confusion over the purpose of school.","Sorry, I don't know that, but I do have a skill you might like. It's called Magic Trick. Wanna try it?","I've enjoyed talking about football! I have to go and have my dinner now."
"Yeah, sometimes when I'm watching a game, I think that they do take a bit too much time running the clock out and stuff, but oh well.","Here's something I found on the web. According to myanimelist.net: Games like that can be pretty big time sinks, so I don't want it to take me away from other things.","It's funny how grueling the game is on your body when there is only 11 mins of gameplay and 16 games a year"
"who is your team","Here's something I found on Wikipedia: A team is a group of individuals working together to achieve their goal.","Well, Jordan Reed is on the Redskins, so I am following them currently."
"Thank you.","You're welcome! Hope you had a great weekend.","I thought that was funny, hopefully the teams are good sports."
"I feel like that is a low bar to hurdle. A yellow line?","Did you want the song Yellow Line?","I know but it made life watching the game on tv that much simpler."
