Input,Response,TurkResponse
"I didn't even know that Sleeping Beauty was a flop! Treasure Planet was also a Disney movie and was the most expensive box office flops of all times.","The most expensive movie to produce was 'Pirates of the Caribbean: On Stranger Tides' in 2011. Many sources confirm this cost of this film is near if not more than 400 million dollars.","I did know that Treasure Planet was a big time flop.  I can't remember anybody that saw it saying they liked it. I read that Tom Hanks is the highest all time box office star."
"Would  you see the Silence of the Lambs on Valentine's day? That's the day it came out in 1991. It made over $270 million in box office.","Here's something I found on the web. According to neatorama.com: The movie came out on Valentine's Day in 1991.","I remember seeing it, but it wasn't on Valentine's day!"
"Wow what a loss, did you know Steven Spielberg still make millions from star wars because a bet from George Lucas in 1977?","Here's something I found on the web. According to ultimateclassicrock.com: Spielberg won the bet, and has been raking in 2.5 percent of Star Wars' profits ever since.","Yes I read that. I did not know that he Directed The Color Purple. Saving private ryan was one of my favorites though."
"I would definitely. You can also get Netflick, Hulu. I have Amazon Prime which has lots of channels.","Here's something I found on the web. According to real.com: There are 3 really good services available, Netflix, Hulu Plus and now Amazon Prime.","Oh cool. Then maybe I will check that out. Are you a Tom Hanks fan?"
"Do you know much about the Bible?","Here's something I found on Wikipedia: A Bible conspiracy theory is any conspiracy theory that posits that much of what is known about the Bible is a deception created to suppress some secret, ancient truth.","some yes"
"Did you know that has sold over an estimated 5 billion copies?  Wow.","Here's something I found on the web. According to wonderopolis.org: Guinness World Records estimates that over five billion copies of the Bible have been sold, making it the best-selling book of all time.","I knew it was perhaps the most sold and published book of all time"
"Yes. Prior to 1963 it was not uncommon for students in the US to be required to read from the bible as part of their elementary eduction!","Did that answer your question?","Yes I lived in the Southern US for a while and they still use that at times"
"There was man who was falsely imprisoned. He used the prison library to study law and learn to free himself. That is amazing don't you think?","Here's something I found on the web. According to huffpost.com: Charles Dickens told a story of a man who had been imprisoned for a significant number of years.","That is awesome! Speaking of libraries, there are more libraries than McDonalds in the United States. Do you have a library card?"
"Hi!  How much do you know about planets?","San Antonio, Texas's planet is Earth.","Hello - I know the alternate names for Earth are gaia, tellus, and telluris."
"That is awesome, I wonder why they settled on Earth.  It is the only one without a God/Goddess name.","Here's something I found on the web. According to hubpages.com: In most spiritual traditions the Earth is a goddess and the sky is a god.","I saw that in 1975 the Soviet Union sent a spacecraft to Venus."
"Wow, maybe that is how they found out it doesnt tilt/","Here's something I found on the web. According to cgsociety.org: I found your camera angles are always tilted , which doesn’t bother me at all for just one.","You can fit every other planet between Earth and the moon/"
"Yes I do. Did you know Spielberg, when creating the soundtrack for Jaws, played the clarinet?","Here's something I found on the web. According to hubpages.com: Spielberg played the clarinet in grade school and high school.","the Brother Where Art Thou one is 8 times certified platinum"
"Larry Hogan could probably have used the support of a group like the Beatles, but I'm sure he will be ok.  At least he isn't as bad as North Dakota's in 1934 who actually seceded from the US for a short time!","I think you want to hear the song Short Time Love?","when schwarzenegger became governor of ca he commuted 3 hours everyday lol"
"If I'm watching a movie at home I don't care about the reviews as much but definitely want to make sure I am getting my moneys worth at the theater.","Here's something I found on the web. According to dontpayfull.com: I don't go to the movie theater anyway because the tickets and concession food are too expensive.","Amen, to that.  Movie ticket prices are outrageous, nowadays.  Netflix has almost 150 movies that carry a 100% Rotten Tomatoes rating."
"I've found it has been so hard to find a movie on Netflix, I have been watching a lot of their original content lately though. Do you watch Netflix?","Some of the most popular things on Netflix right now include the shows 'Stranger Things,' 'Orange is the New Black,' and 'Queer Eye.' Films include 'Okja,' 'The Ballad of Buster Scruggs,' and 'Roma.'","All the time.  It is another one of those companies created by college students.  Lol.  All I did in college was party!"
"hello","Hope you enjoyed your Monday.","Hello, Michael jackson has a patent. on a device used to achieve the extreme lean in some of his dance moves"
"Dance truly is interesting. As for the babies dancing spontaneously when they hear music, I totally agree. My child does the same","Here's something I found on the web. According to ala.org: In some cultures, babies are exposed to music and dancing from birth, with moms dancing around holding their babies in their arms regularly.","Mine do as well.  Professional ballet dancers can go through 4 pairs of pointe shoes in a week."
"I didn't know there were any names besides Earth, lol. I guess maybe the blue planet, what other names do you know?","Here's something I found on the web. According to todayifoundout.com: Why is “the Earth” often referred to as “the Earth” when we don’t say “the Saturn”, “the Jupiter”, etc.","Tellus and Telluris!  very cool! This is also a planet that orbits four stars!"
"I do not know too much, i just know there is crazy things that happen out there, how about you?","Here's something I found on the web. According to abovetopsecret.com: I think things happen, but I don't believe the people involved do it just because they are evil.","True,  its has celestial bodies called Ceres, Pallas, Juno and Vesta!"
"Ouch!  I guess we are all dancers to some degree.  Babies naturally dance when they hear music.","Here's something I found on the web. According to nbcnews.com: Babies love a beat, according to a new study that found dancing comes naturally to infants.","I remember as kids we'd have birthday parties and dance to various Disney Soundtracks. Do they still make those, I wonder?"
"If they do, they are probably 'R' rated.  Disney has changed for the worse.  I think it's great the Spielberg played clarinet in the Jaws soundtrack.","Here's something I found on the web. According to hubpages.com: Spielberg played the clarinet in grade school and high school.","Speilberg is amazing! It wouldn't surprise me if he could dance well, too! I wonder if he'd ever play an instrument in another soundtrack?"
"Haha well I'm glad we agree on that. What did you think about Rogue one that came out in 2016? I thought it was a total disaster haha","Here's something I found on the web. According to khinsider.com: And yeah that's what I thought.","I think any movie that relegates the Great Luke to the trash heap is nothing. 'No! I am your Father' is the greatest scene of all time."
"Holy cow, I wonder how much it was worth in 1998, probably less than half of that.","Here's something I found on the web. According to hardforum.com: Holy cow, not just the eVGA, but almost all the other brands are at $599 now on the Egg.","In 2013 star wars was dubbed in Navajo, making it the first major film to be in navajo"
"I guess they hold the record for most successful film merchandising franchise.  When I hear merchandising I think of that scene from Spaceballs.","The most successful film, grossing $2.78bn worldwide, is Avatar. However, Avengers: Endgame is a close second, with $2.74bn and still counting. Factoring inflation, the highest grossing film at $3.72bn is Gone With The Wind, followed by Avatar with $3.27bn.","Do you watch the academy awards? Eminem has more Oscars than Leonardo DiCaprio"
"Good call!  He is a great actor though so I can see it, I wonder what roles he won for.  Maybe the butcher role in Gangs of New York.","Here's something I found on the web. According to reference.com: In 2002, Day-Lewis gave an acclaimed performance as Bill the Butcher in 'Gangs of New York.'","Probably. Blazing saddles was nomonanom for 3 Oscars too. Well have a great night."
"Yes!  Mostly when it comes to the Original trilogy.  Those are the best.","Here's something I found on the web. According to obsidian.net: For the most part, the original trilogy had absolutely fantastic plots, along with truly original and impressive designs, visuals, effects, etc.","It is amazing how star wars was created long time ago , in 1977 and with a movie made last year , the star wars fever is so alive!"
"Who?  Harrison Ford?","Harrison Ford (born July 13, 1942) is an American actor, aviator, and environmental activist. He gained worldwide fame for his starring role as Han Solo in the Star Wars Trilogy (1977–1983), reprising the role in the sequel trilogy.","It is Daniel Day Lewis, what an accomplishment"
"With all the historic buildings in the UK I could see why they need one. Older structures like that tend to attract rodents.","Here's something I found on the web. According to wildlifeanimalcontrol.com: In cities rodents primarily damage older buildings that are primarily made of wood structure.","Is one cat enough though? Might need a support staff."
"Ha, that or have a heart attack, no seriously, you burn 180 calories watching a horror movie, wonder what other types of cinema burn?","You could, but I've found that insults are like unwanted gifts. They often get returned.","I mean if the movie really scares You, than maybe, but what if You just like the story, but it's no longer scary for You, because You've seen it all ? ;)"
"If I was a better cinematographer, I'd make my own movies, but thats not in the cards.  Its been nice visiting with you.","Here's something I found on the web. According to forbes.com: I’m not new, I’m not just beginning, and I have made movies with every great director and every great cinematographer ever.","Same here, thank You so much for fun conversation ! ;)"
"Hey there what do you know about the prime minister of the UK?","Since July 24, 2019, the current Prime Minister of the United Kingdom is Boris Johnson.","I don't know that much actually. He has a cat though."
"That's kind of ironic, isn't it? I wonder if Wikileaks will tell us what the government does with the 86% of Nevada's land that they own?","Here's something I found on the web. According to blogspot.com: The federal government controls at least 86 percent of Nevada's land area.","That is a good question. Maybe it is Area 51 that they own haha? It's also crazy to think that Norway donated a billion dollars to help save the rainforest, I wonder if they own the land or just donated it"
"How's it going, do you watch Horror films? The first ones were inspired by Edgar Allan Poe and Mary Shelley","Here's something I found on the web. According to bartleby.com: In the beginning gothic novels by literary works by Mary Shelley, Bram Stoker and Edgar Allan Poe inspired the horror movie genre.","I love horror movies, I am a stephen king fan!"
"What are some of your favorite ones? Stephen king considers Bambi one haha.","Here's something I found on the web. According to jstor.org: Horror master Stephen King said that Bambi’s mom’s killing was the thing that frightened him the most as a child.","King was just a kid, to be fair. That movie could be scary to a tiny child. He then turned his fright into a profession."
"You're right on that one. Did you know you can burn 180 calories watching one?","You could, but I've found that insults are like unwanted gifts. They often get returned.","I suppose that I could try to lose weight that way. It might be easier to exercise. I like a couple of films, but after the first viewing, they are not as scary."
"Are you a soccer or tennis fan?","Here's something I found on the web. According to ign.com: I like to play football [soccer in US ] and tennis.","Well I personally prefer tennis, but I also like lacrosse, did you hear about the spring all met boys lacrosse team?"
"Hello","You have Alexa Prize Socialbots enabled. Do you want to open it?","Hi. Do you play tennis?"
"Hi, do you know anything about lacrosse?","'Lacrosse' is usually defined as a game invented by American Indians; now played by two teams who use long-handled rackets to catch and carry and throw the ball toward the opponents' goal.","Hello there, I don't know too much I will say, how about you"
"They use helicopters to dry us open tennis courts. Who knew!","Here's something I found on the web. According to latimes.com: The start of the match had been delayed 95 minutes while a helicopter helped dry the court.","I heard about that!  During a major tournament or something right?"
"That just shows how badass they are, haha! The best guitarists are the ones that set stuff on fire from playing... or have a phd in astrophysics like the one from Queen.","If I had to pick one, I'd go with Carlos Santana. He's oh so smooth!","Yes. He is a smart guy."
"Do you know how to play the guitar?","According to wikiHow, to play the guitar, first get in position. Rest the guitar on your right leg. Then, place your right hand over the strings with your elbow out to the side. Place your left thumb against the back of the fret board, and place your fingers lightly on the strings. Keep your thumb placed around the middle height of the fretboard, and try to keep your wrist relaxed. Next, learn the strings. The top string is number 6, followed by 5, 4, 3, 2, and 1. They also have letter names: E, A, D, G, B, and E. You can remember this with the mnemonic, Elephants And Donkeys Grow Big Ears. Then, tune the guitar using the knobs on the guitar's neck. Now, try to learn a basic chord like a C-chord. Place the ring finger of your left hand around the third fret of the fifth string. Then, place your middle finger on the second fret of the fourth string. Finish by placing your index finger on the first fret of the second string. Strum the guitar from the fifth string down to play the C Chord, making contact with each string as you strum down. Practice strumming up and down a few times, keeping your wrist soft as you strum. To learn more details about this and other how-to's from wikiHow, say open wikiHow.","No. I wish that I did"
"I could only imagine. I wonder where they keep that piano.","Here's something I found on the web. According to berklee.edu: We didn't have a piano but they noticed that I would always fool around with the piano down at my grandmothers house.","it should be in the rock and roll hall of fame"
